TotalPop,Hispanic,White,Black,Native,Asian,Pacific,Income,male_pop,female_pop
12873761,0.00156017335473515,0.006085980738362759,0.00171084109149277,1.1842696629213499e-5,4.4753772070626005e-4,2.00321027287319e-6,59587.0488745981,6316899,6556862
6568645,6.5367441860465e-4,0.00784318936877077,0.00111869767441861,1.94086378737542e-5,1.5782724252491698e-4,3.2624584717608002e-6,48616.2278481013,3235263,3333382
3093526,5.30364520048603e-4,0.00877196840826246,3.25698663426489e-4,2.89793438639125e-5,1.69939246658566e-4,5.516403402187119e-6,53017.7530413625,1534595,1558931
2892987,0.00116443421052631,0.0075958289473684205,6.5678947368421e-4,7.33947368421053e-5,2.33105263157895e-4,6.144736842105259e-6,53885.6126482213,1439862,1453125
4397353,3.22299368800721e-4,0.00852307484220019,8.272317403065831e-4,1.6663660955816e-5,1.12984670874662e-4,4.64382326420198e-6,45285.8025362319,2164208,2233145
4625253,4.86648936170213e-4,0.00549785460992908,0.0036326241134751703,4.8430851063829804e-5,1.6690602836879403e-4,3.91843971631206e-6,44957.9937611408,2261156,2364097
1329100,1.43190883190883e-4,0.00937074074074074,1.1344729344729401e-4,7.88319088319089e-5,9.658119658119669e-5,1.56695156695157e-6,49181.9743589744,650081,679019
5930538,8.472498200143989e-4,0.0052679049676026,0.0030677753779697597,2.03095752339813e-5,5.32541396688265e-4,3.62850971922246e-6,78765.4007246377,2872643,3057895
6705586,0.00114610655737705,0.00730410519125684,6.83312841530056e-4,1.2827868852459e-5,5.835655737704909e-4,1.9808743169398897e-6,72838.9367262724,3249650,3455936
9900571,4.6349927325581297e-4,0.00723817223837208,0.0017633103197674399,4.84411337209303e-5,2.42311046511628e-4,1.95494186046512e-6,51201.83003663,4861973,5038598
5419171,5.1529235382309e-4,0.008142706146926531,5.65982008995502e-4,1.0690404797601199e-4,4.156071964018e-4,3.29085457271364e-6,62820.833959429,2692166,2727005
2988081,2.84240121580547e-4,0.00532863221884498,0.00414919452887538,3.89969604863222e-5,8.76443768996961e-5,1.50455927051672e-6,38909.9192073171,1451723,1536358
6045448,4.0372478386167197e-4,0.0077508069164265005,0.00141221181556196,3.63328530259366e-5,1.6244956772334298e-4,1.01657060518732e-5,49763.9877256318,2964003,3081445
1014699,3.26888888888889e-4,0.00864155555555555,4.29259259259259e-5,7.060740740740739e-4,5.70370370370371e-5,7.2222222222222195e-6,47645.6828358209,510163,504536
1869365,9.203759398496229e-4,0.008113947368421059,4.95620300751879e-4,8.644736842105261e-5,1.85902255639098e-4,5.71428571428571e-6,55916.4696969697,929606,939759
2798636,0.002710088365243,0.0053239322533137,7.73961708394699e-4,1.0871870397643601e-4,7.09572901325479e-4,5.74521354933727e-5,55526.5250737463,1407735,1390901
1324201,3.32191780821918e-4,0.00913191780821918,1.2277397260274e-4,1.42808219178082e-5,2.19143835616438e-4,1.60958904109589e-6,68728.8595890411,653484,670717
8904413,0.00187495004995005,0.0056488761238761296,0.0014387862137862101,1.15334665334665e-5,8.159990009990021e-4,3.1318681318681297e-6,76581.0834170854,4343027,4561386
2084117,0.00452829317269076,0.00406979919678715,1.75502008032129e-4,9.24859437751005e-4,1.23433734939759e-4,4.2771084337349405e-6,47329.9678714859,1032414,1051703
19673174,0.0017241424747786698,0.00564701050030883,0.00156680461190035,3.21638871731521e-5,7.897158739962939e-4,2.34506897261684e-6,64290.7491129201,9541801,10131373
9845333,8.464762782128061e-4,0.00645976508521419,0.00213951174573929,1.0854905573468399e-4,2.3174573929065e-4,5.23261169967757e-6,49937.4641369736,4795408,5049925
721640,2.83268292682927e-4,0.00874482926829268,1.28439024390244e-4,5.65121951219512e-4,9.61951219512194e-5,3.46341463414634e-6,58188.112195122,367963,353677
11575977,3.6720843250595e-4,0.007590306018361101,0.0016207276436586199,1.68888133287997e-5,1.6210812648759e-4,2.26453587215233e-6,49655.2484662577,5662893,5913084
3849733,0.00100799043062201,0.00660594258373205,8.314736842105259e-4,6.71684210526316e-4,1.80114832535885e-4,1.0622009569377999e-5,48100.8542665388,1906944,1942789
3939233,0.00114412121212121,0.00783955151515152,1.73078787878788e-4,1.0002424242424301e-4,3.59490909090909e-4,3.4533333333333296e-5,54271.9018181818,1948453,1990780
12779559,6.12801374141162e-4,0.00773838538413491,0.0011633947532792,1.19269206745784e-5,2.79775140537165e-4,1.93941286695815e-6,56170.4645100503,6245344,6534215
3583073,0.009889357384441931,7.73618940248026e-5,9.25591882750846e-6,2.8184892897406997e-7,7.51972942502819e-6,1.2401352874859099e-7,20720.5382857143,1713860,1869213
1053661,0.00133566666666667,0.00743254166666667,5.68291666666667e-4,3.4625e-5,3.2474999999999995e-4,3.58333333333333e-6,59125.2708333333,510388,543273
4777576,5.05668498168499e-4,0.00628887362637362,0.00287509157509158,2.92399267399267e-5,1.2491758241758201e-4,4.6978021978022e-6,46296.8077634011,2322409,2455167
843190,3.23963963963964e-4,0.00825009009009009,1.4238738738738801e-4,9.41756756756757e-4,1.01936936936937e-4,4.18918918918919e-6,51805.4054054054,423477,419713
6499615,4.7200269723533404e-4,0.00734900876601482,0.00182838165879973,2.26635198921106e-5,1.4072825354012098e-4,4.3155765340526e-6,47328.0836165874,3167756,3331859
26538614,0.0038046738090683004,0.00446879089343791,0.00116500478285824,2.61144059690071e-5,3.66969581021618e-4,6.88157643007461e-6,55874.5226005001,13171316,13367298
2903379,0.0013468376068376101,0.00794068376068376,1.01794871794872e-4,1.08136752136752e-4,2.1960683760683799e-4,8.25982905982906e-5,63488.9178082192,1459229,1444150
626604,1.60928961748634e-4,0.00939830601092896,9.808743169398909e-5,3.01639344262295e-5,1.23879781420765e-4,3.06010928961749e-6,55602.9672131148,308573,318031
8256630,8.0110164981373e-4,0.00632710484300159,0.00201759978712081,2.12453432676956e-5,5.45524215007984e-4,6.47152740819585e-6,72866.0134120172,4060948,4195682
6985464,0.00111409688581315,0.0072038408304498204,3.38442906574395e-4,1.41072664359862e-4,7.02200692041522e-4,6.09896193771627e-5,64493.7676837725,3487725,3497739
1851420,1.29090909090909e-4,0.00921762396694215,3.6628099173553703e-4,1.52685950413223e-5,6.82438016528925e-5,2.64462809917355e-6,41437.1115702479,913631,937789
5742117,6.68333333333333e-4,0.00798640086206897,8.1951867816092e-4,9.536637931034479e-5,2.40423850574712e-4,2.08333333333333e-6,53898.8892086331,2851385,2890732
579679,9.67404580152672e-4,0.00842580152671756,1.04885496183206e-4,1.95419847328244e-4,8.946564885496181e-5,7.17557251908397e-6,58757.8549618321,295561,284118
